,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
301,462,Gd1 F3,mp-972965,0.0,alpha bismuth trifluoride,BiF3,-0.41306833000004417,,3,3
302,177,Hg3 F1,mp-973777,0.1686988562499998,,Cu3Au,-0.06853584000000268,,3,3
303,151,Hg3 F1,mp-973778,0.16233254124999985,alpha bismuth trifluoride,BiF3,0.19313380999999907,-0.38325660999998945,3,3
304,923,Hg2 F4,mp-974603,0.008098649999987995,Hydrophilite,CaCl2,0.38094263000000694,0.19981047999999646,3,3
305,3490,Li2 Nb1 F6,mp-9752,0.030334092592593898,Rosiaite,Sb2PbO6,0.6145289699999807,,2,3
306,473,Rb1 F3,mp-975337,0.3577378131250022,,TiAl3,-0.16622648000000595,,2,3
307,112,Na1 F3,mp-976404,0.0,,TiAl3,-0.19401049999999032,,2,3
308,180,Ac1 F3,mp-977360,0.004809984999999628,alpha bismuth trifluoride,BiF3,0.9703135400000065,,3,3
309,259,Tl3 F1,mp-979262,0.27903344750000025,,TiAl3,-0.2354575600000004,,2,2
310,170,Hg3 F1,mp-982008,0.16046867874999982,,TiAl3,0.12197974000000045,,2,2
311,1344,Sn2 Cl2 F2,mp-989192,0.04020241416666881,Matlockite,PbClF,0.6319930100000022,,2,2
312,1125,Sn2 Br2 F2,mp-989193,0.0316639108333332,Matlockite,PbClF,0.5563854399999997,,2,2
313,1161,Ge2 Cl2 F2,mp-989197,0.13711023333333294,Matlockite,PbClF,0.4225194599999895,,2,2
314,5843,Cs2 Rb1 Pb1 F6,mp-989525,0.0,Double perovskite,Ba2MnWO6,0.795343889999998,,2,3
315,443,Ca1 Tl1 F3,mp-998150,0.01815880799999814,(Cubic) Perovskite,CaTiO3,0.7723510600000054,,1,1
316,762,Tl1 Fe1 F3,mp-998159,0.271339906999998,(Cubic) Perovskite,CaTiO3,0.4136576299999888,,3,3
317,695,Tl1 Co1 F3,mp-998160,0.19647235499999915,(Cubic) Perovskite,CaTiO3,0.44496277999999734,,3,3
318,799,Cs1 Tl1 F3,mp-998235,0.06426403599999997,(Cubic) Perovskite,CaTiO3,0.5324378299999921,,1,3
319,619,Cs1 In1 F3,mp-998322,0.10638344299999769,(Cubic) Perovskite,CaTiO3,0.699321249999997,,3,3
320,633,Mg1 Ag1 F3,mp-998358,0.0331789360000041,(Cubic) Perovskite,CaTiO3,0.3308397700000114,-0.17801071999997475,3,3
321,744,Ni1 Ag1 F3,mp-998365,0.05170095999999713,(Cubic) Perovskite,CaTiO3,0.5031507399999953,,3,3
322,501,Cu1 Ag1 F3,mp-998414,0.034928862000002336,(Cubic) Perovskite,CaTiO3,0.3564331599999946,,3,3
323,4668,Mg2 Ag2 F6,mp-998418,0.018142888000004298,PrNiO3,PrNiO3,0.42660668000002033,0.331759169999998,2,3
324,7889,Cu2 Ag2 F6,mp-998422,0.01275753900000165,PrNiO3,PrNiO3,0.3753958199999943,0.27868592999999464,3,3
325,558,Rb1 Tl1 F3,mp-998607,0.05363476400000744,(Cubic) Perovskite,CaTiO3,0.5196898599999997,,1,3
326,18007,Cs4 Na4 F12,mp-998609,0.0,CdCl3(NH4),CdCl3Nh,0.5224346699999955,,1,1
327,908,Tl1 Zn1 F3,mp-998745,0.0,(Cubic) Perovskite,CaTiO3,0.8933390599999882,,3,3
328,368,Tl1 Ni1 F3,mp-998761,0.010847693000003211,(Cubic) Perovskite,CaTiO3,0.5855985000000032,0.1667070099999819,3,3
329,423,Mn1 Tl1 F3,mp-998762,0.0,(Cubic) Perovskite,CaTiO3,0.8848104300000159,,3,3
330,505,Tl1 Pd1 F3,mp-998786,0.0,(Cubic) Perovskite,CaTiO3,0.8237494500000082,,3,3
